,position,title,place_id,latitude,longitude,rating,reviews,type,types
0,1,Shreemant Dagdusheth Halwai Ganpati Temple,ChIJ_0K0pW_AwjsR4bxItvVl850,18.5164297,73.85613289999999,4.8,164183,Hindu temple,"['Hindu temple', 'Religious organization', 'Tourist attraction']"
1,2,"Shri Omkareshwar Temple, Pune",ChIJ45xFN3rAwjsR2V37jJhvZJA,18.519900099999997,73.8489738,4.7,5575,Hindu temple,"['Hindu temple', 'Tourist attraction']"
2,3,Shri Chatushrungi Devi Temple,ChIJiQOngXe_wjsRXqB1ICYKi3Y,18.5390549,73.8283972,4.7,14353,Hindu temple,['Hindu temple']
3,4,ISKCON NVCC Pune,ChIJSdctqfvqwjsR7tcJvlsbul4,18.4479075,73.8806802,4.7,31979,Hindu temple,"['Hindu temple', 'Food court', 'Outlet mall', 'Recreation center', 'Tourist attraction']"
4,5,"Shri Mahalaxmi Mandir, Pune",ChIJdSya5BHAwjsRMdxtJDBOIUQ,18.49999,73.85407719999999,4.8,3102,Hindu temple,"['Hindu temple', 'Tourist attraction']"
5,6,BAPS Shri Swaminarayan temple Narhe - Pune,ChIJG00XWtqVwjsRs0vgrOLuRSQ,18.4420753,73.83648409999999,4.7,12378,Hindu temple,['Hindu temple']
6,7,Wagheshwar Temple,ChIJ83ttOjnGwjsRWeipP0aGay8,18.5815211,73.9786381,4.7,11774,Hindu temple,"['Hindu temple', 'Tourist attraction']"
7,8,Bhuleshwar Temple,ChIJ5ctMUg0ewzsRypqw9G3-fPQ,18.436003499999998,74.2411621,4.8,8071,Hindu temple,"['Hindu temple', 'Tourist attraction']"
8,9,ISKCON Pune Camp,ChIJud3T2U_AwjsRABe9wpfghek,18.5203582,73.8796204,4.7,10688,Hindu temple,"['Hindu temple', 'Place of worship', 'Spiritist center', 'Tourist attraction']"
9,10,Shree Devdeveshwar Temple (Parvati Temple),ChIJK3EUKQnAwjsR8sgehTShT5E,18.497573199999998,73.84717169999999,4.5,4498,Hindu temple,"['Hindu temple', 'Hiking area', 'Tourist attraction']"
10,11,Shri Siddhivinayak Ganesh Mandir Sarasbaug,ChIJd-Wy4g3AwjsRnlJqTKagdlM,18.500894499999998,73.85305009999999,4.6,14857,Hindu temple,"['Hindu temple', 'Park']"
11,12,Khandoba temple,ChIJ97ysqhuVwjsRPdpLQKqyewY,18.414915399999998,73.8209724,4.8,509,Hindu temple,"['Hindu temple', 'Tourist attraction']"
12,13,Shree Swami Samarth Mandir,ChIJf_ub9ITBwjsRljBDWafLbPE,18.4992154,73.8529405,4.7,1464,Hindu temple,['Hindu temple']
13,14,Shree Nageshwar Shiv Mandir,ChIJUyQesGfAwjsRi-ZWzAKcwak,18.5211462,73.8633162,4.6,519,Hindu temple,['Hindu temple']
14,15,Sri Ahobila Mutt Sri Balaji Mandir,ChIJ2-aAAOW-wjsR1wSFRZyCES4,18.5416109,73.78976469999999,4.6,1698,Hindu temple,"['Hindu temple', 'Place of worship']"
15,16,Shirdi Sai Devasthan,ChIJYZFb5bnHwjsR69iBeg6QpbI,18.6416121,73.8770408,4.7,10492,Hindu temple,"['Hindu temple', 'Charity', 'Non-profit organization', 'Tourist attraction']"
16,17,Shri Dashbhuja Ganpati Mandir,ChIJkVekF5O_wjsRrBkvdoGn9Fw,18.505765,73.8258388,4.7,2240,Hindu temple,"['Hindu temple', 'Place of worship']"
17,18,Shree Kasba Ganapati Mandal,ChIJxwVhhWXAwjsRrW-T8LDL4lo,18.5190414,73.8573208,4.7,2917,Hindu temple,"['Hindu temple', 'Charity', 'Library', 'Non-profit organization']"
18,19,"Shree Balaji Temple, Pune",ChIJCw3v3eC-wjsRRQZzAaSldtg,18.2566632,73.9323634,4.7,12155,Hindu temple,['Hindu temple']
19,20,Shree Shiva Temple,ChIJcyilYvDBwjsRFKpoh4-D1xQ,18.5022509,73.92745719999999,4.6,294,Hindu temple,['Hindu temple']
20,1,Shri Shambho Mahadev Mandir,ChIJ4e2czf7pwjsRjOUZQpr5qg0,18.4850408,73.9393731,4.5,212,Hindu temple,['Hindu temple']
21,2,Mahadev Mandir,ChIJq79xouO4wjsRiQONz7MBGKE,18.602107999999998,73.7993759,4.8,1203,Hindu temple,['Hindu temple']
22,3,Shiv Mandir,ChIJUe934zO_wjsRNdaWRaKwsUc,18.5665303,73.81158239999999,4.7,47,Hindu temple,['Hindu temple']
23,4,Shree Kasba Ganapati Mandal,ChIJxwVhhWXAwjsRrW-T8LDL4lo,18.5190414,73.8573208,4.7,2917,Hindu temple,"['Hindu temple', 'Charity', 'Library', 'Non-profit organization']"
24,5,Shree Swami Samarth Mandir,ChIJf_ub9ITBwjsRljBDWafLbPE,18.4992154,73.8529405,4.7,1464,Hindu temple,['Hindu temple']
